date,code,field,time,focal_patch,height ,width,leaves_alive,leaves_dead,flower_bud,flower_bloom,flower_dead,flower_seed,wind_t0,wind_t15,wind_t30,wind_t45,wind_t60,wind_bearing,humidity_base,humidity_top,micro_temp,weather_obvs,min_surrounding_veg_height,max_surrounding_veg_height,grazed,f_type,surrounding_veg_type,written
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,0.259,0.23,43,5,0,0,0,0,0,1.3,0,0,0.6,61,70%,71%,18.5,Heavy cloud,0.2,0.3,Ungrazed,SI,Dandelion (Taraxacum spp.) and Alfalfa (Medicago sativa) ,written up 18/10/2023
26/09/2023,BC_A_1.2,Broad Cliff A ,1,2,0.271,0.284,66,0,0,0,0,0,0.6,0,1.2,0,0,152,88%,87%,16.9,Full cloud ,0.1,0.2,Ungrazed,SI,Alfalfa (Medicago sativa) and Broad Leaf Dock (Rumex obstusifolius),written up 09/11/2023
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,0.616,0.175,77,12,1,0,6,2,2.2,0.6,0.6,2.2,0,108,63%,66%,25.7,"Sunny, clear",0.2,0.4,Ungrazed,SI,ElmLeaf blackberry (Rubus ulmifolius) and Bracken (Pteridium aquilinum),written up 20/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,0.398,0.289,147,13,9,2,4,6,0,2,2.1,0,0,168,59%,55%,27.8,"Sunny, clear",0.2,0.3,Ungrazed,SI,Broad Leaf Dock (Rumex obtusifolius) and Dandelion (Taraxacum spp.),written up 20/08/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,0.145,0.13,11,0,0,0,0,0,0,0,0,0,0,214,61%,57%,24.3,"Sunny, light cloud",0.1,0.5,Ungrazed,SI,Creeping Buttercup (Ranunculus repens) and Red Clover (Trifolium pratense),written up 28/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,0.425,0.228,69,34,0,0,0,0,0,0.6,2.1,0,0,209,51%,54%,24.4,"Sunny, light cloud",0.1,0.4,Ungrazed,SI,Red Clover (Trifolium pratense) and Dandelion (Taraxacum spp.),written up 28/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,0.421,0.165,74,23,1,1,0,0,0,0,0,0,0.6,185,56%,50%,23.6,"Sunny, light cloud",0.2,0.5,Ungrazed,SI,Alfalfa (Medicago sativa) and Red Clover (Trifolium pratense),written up 28/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,0.275,0.139,44,6,0,0,0,0,3.7,2.5,2.3,2.9,2.3,51,77%,69%,17.6,"Full cloud, high wind",0.1,0.6,Ungrazed,SI,Dandelion (Taraxacum spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 07/09/2023
26/09/2023,BC_A_3.2,Broad Cliff A,3,2,0.152,0.22,35,2,0,0,0,0,0,0,0,0.2,0,135,80%,78%,17.2,"Sunny, cloud",0.05,0.2,Ungrazed,SI,Red Clover (Trifolium pratense) and Dandelion (Taraxacum spp.),written up 09/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A,3,3,0.267,0.369,67,4,0,0,0,0,2.4,2.1,2.5,0,0,120,79%,81%,15.7,Heavy cloud,0.1,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens),written up 09/11/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,0.324,0.318,118,6,0,0,0,0,2,0.6,0,0,0.6,215,63%,57%,22.5,"Sunny, light cloud",0.1,0.4,Ungrazed,SI,White Clover (Trifolium repens) and Alfalfa (Medicago sativa),written up 28/09/2023
26/09/2023,BC_B_1.2,Broad Cliff B,1,2,0.243,0.244,57,12,0,0,1,0,2.2,0.6,2.2,1.3,0.6,148,89%,87%,17.4,Full cloud ,0.1,0.4,Ungrazed,SI,Alfalfa (Medicago sativa),written up 11/11/2023
11/09/2023,BC_B_2.1 ,Broad Cliff B,2,1,0.232,0.228,34,29,0,0,0,0,1.3,2,0.6,0,1.3,123,67%,78%,22.7,"Sunny, cloud",0.1,0.2,Ungrazed,SI,White Clover (Trifolium repens) and Ragwort (Jacobaea vulgaris),written up 14/10/2023
05/08/2023,BC_B_2.10,Broad Cliff B,2,10,0.526,0.181,96,2,6,7,1,4,2.9,3.4,4,3.5,4,56,74%,76%,19.2,N/A,0.2,0.4,Ungrazed,SI,Broad Leaf Dock (Rumex obtusifolius) and Alfalfa (Medicago sativa),written up 03/08/2023
11/09/2023,BC_B_2.2,Broad Cliff B,2,2,0.316,0.223,64,20,3,0,1,1,0,0,0,0,0,121,72%,76%,23,"Sunny, cloud",0.2,0.6,Ungrazed,SI,Hedge Woundwort (Stachys sylvatica) and Alfalfa (Medicago sativa),written up 14/10/2023
26/09/2023,BC_B_2.3,Broad Cliff B,2,3,0.208,0.301,75,4,0,0,0,0,2,0.6,0,0.2,0.6,98,63%,60%,21.4,"Sunny, light cloud ",0.1,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens) and Dandelion (Taraxacum spp.) ,written up 11/11/2023
26/09/2023,BC_B_2.4,Broad Cliff B,2,4,0.229,0.286,34,1,0,0,0,0,2.1,0,0,0,1.2,300,64%,61%,20.9,"Sunny, light cloud ",0.1,0.2,Ungrazed,SI,Broad Leaf Dock (Rumex obtusifolius) and Creeping Buttercup (Rannunculus repens),written up 09/11/2023
09/08/2023,BC_B_3.1,Broad Cliff B,3,1,0.623,0.23,167,8,4,2,0,0,0,0,0,0,0,170,73%,75%,22.9,N/A,0.2,0.4,Ungrazed,SI,Dandelion (Taraxacum spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 12/08/2023
05/08/2023,BC_B_3.2,Broad Cliff B,3,2,0.247,0.141,49,4,3,0,0,0,2.3,0.6,2,2.4,2.8,10,59%,65%,18.7,N/A,0.1,0.2,Ungrazed,SI,European Dewberry (Rubus caesius),written up 03/08/2023
09/08/2023,BC_B_3.3,Broad Cliff B,3,3,0.358,0.209,87,4,0,0,0,0,2.3,2.4,2.7,2.3,2.4,149,77%,82%,20.9,N/A,0.2,0.4,Ungrazed,SI,Alfalfa (Medicago sativa),written up 12/08/2023
18/09/2023,BC_B_3.4,Broad Cliff B,3,4,0.295,0.24,37,3,0,0,0,0,0.6,1.3,3,2.6,0,96,73%,73%,15.7,Heavy cloud,0.1,0.4,Ungrazed,SI,Creeping Buttercup (Ranunculus repens) and Alfalfa (Medicago sativa) ,written up 18/10/2023
26/09/2023,BC_C_1.1,Broad Cliff C ,1,1,0.369,0.226,12,37,0,0,0,1,1.3,2,0,0,1.3,151,89%,86%,19.1,Heavy cloud ,0.2,0.4,Ungrazed,SI,Alfalfa (Medicago sativa),written up 11/11/2023
26/09/2023,BC_C_1.2,Broad Cliff C ,1,2,0.25,0.092,28,1,0,0,0,0,0,1.3,2.3,0,2.2,128,88%,79%,19.3,"Sunny, light cloud",0.2,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens) and Broad Leaf Dock (Rumex obstusifolius) ,written up 11/11/2023
19/08/2023,BC_C_2.1,Broad Cliff C,2,1,0.262,0.202,41,11,0,0,0,0,0.6,1.3,0,0,0,165,81%,78%,21.2,"Full cloud, high wind",0.3,0.4,Ungrazed,SI,Broad Dock (Rumex obtusifolius),written up 20/08/2023
19/08/2023,BC_C_2.2,Broad Cliff C,2,2,0.485,0.208,54,23,0,0,14,12,2.7,2,0.6,0.6,2.3,159,76%,80%,21.1,"Sunny, heavy cloud",0.2,0.4,Ungrazed,SI,Alfalfa (Medicago sativa),written up 20/08/2023
18/09/2023,BC_C_2.3,Broad Cliff C,2,3,0.375,0.243,73,7,3,3,1,0,2.8,3.2,2.8,2.6,3.5,86,61%,58%,19.5,"Sunny, light cloud ",0.2,0.5,Ungrazed,SI,Creeping Buttercup (Ranunculus repens) and Alfalfa (Medicago sativa) ,written up 18/10/2023
18/09/2023,BC_C_2.4,Broad Cliff C,2,4,0.229,0.22,20,8,0,0,0,0,2.3,0,0.6,2.5,0,101,49%,57%,20.9,"Sunny, light cloud ",0.2,0.5,Ungrazed,SI,Alfalfa (Medicago sativa) ,written up 18/10/2023
26/09/2023,BC_C_2.5,Broad Cliff C ,2,5,0.536,0.273,13,100,0,0,3,5,0.6,2.2,0,0.6,2.5,118,61%,63%,21.5,"Sunny, light cloud ",0.2,0.4,Ungrazed,SI,Alfalfa (Medicago sativa),written up 11/11/2023
15/08/2023,BC_C_3.1,Broad Cliff C,3,1,0.365,0.143,87,5,4,1,0,0,3.2,2.1,2.8,2.5,2.1,145,67%,71%,22.5,N/A,0.2,0.3,Ungrazed,SI,Broad Leaf Dock (Rumex obtusifolious),written up 16/08/2023
22/09/2023,BC_C_3.2,Broad Cliff C,3,2,0.202,0.143,11,1,0,0,0,0,0,0,0.6,0,0.6,32,78%,83%,15.4,"Sunny, cloud ",0.2,0.4,Ungrazed,SI,Alfalfa (Medicago sativa) ,written up 18/10/2023
22/09/2023,BC_C_3.3,Broad Cliff C ,3,3,0.217,0.115,8,5,0,0,0,0,0,2,0,1.3,0,46,79%,80%,13.7,"Sunny, cloud ",0.1,0.3,Ungrazed,SI,Alfalfa (Medicago sativa) ,written up 18/10/2023
16/08/2023,BP_1.1,Broadpark ,1,1,0.356,0.282,95,6,1,0,0,0,0.6,0.6,0,0,0,219,71%,68%,23.8,"Sunny, light cloud",0.2,0.4,Ungrazed,I,Nettle (Urtica spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 20/08/2023
16/08/2023,BP_1.2,Broadpark ,1,2,0.543,0.367,162,46,16,1,1,1,0,0,0.6,2,1.3,222,67%,74%,22.3,"Sunny, very light cloud",0.1,0.2,Ungrazed,I,Nettle (Urtica spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 20/08/2023
07/08/2023,BP_2.1,Broadpark ,2,1,0.397,0.139,63,10,4,1,1,0,0,0,0,0.4,0,127,76%,73%,18.4,N/A,0.1,0.2,Ungrazed,I,Broad Leaf Dock (Rumex obstusifolius) and Creeping Buttercup (Ranunculus repens),written up 06/08/2023
07/08/2023,BP_2.2,Broadpark ,2,2,0.871,0.725,629,37,53,8,2,6,2.1,0,0,0,0.6,62,71%,69%,18.3,N/A,0.2,0.8,Ungrazed,I,Creeping thistles (Cirsium arvense) and Alfalfa (Medicago sativa),written up 06/08/2023
12/09/2023,BP_2.3,Broadpark ,2,3,0.374,0.22,39,26,0,0,0,0,2.4,3.1,2.2,1.3,2.4,56,82%,76%,20.4,"Sunny, light cloud ",0.2,0.6,Ungrazed,I,Nettle (Urtica spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 16/10/2023
12/09/2023,BP_2.4,Broadpark ,2,4,0.378,0.436,38,3,1,0,0,0,2.3,2.8,2.3,2.7,3.1,65,72%,74%,19.5,"Sunny, light cloud ",0.1,0.3,Ungrazed,I,Broad Leaf Dock (Rumex obtusifolius) and Creeping Buttercup (Ranunculus repens),written up 16/10/2023
05/08/2023,BP_3.1,Broadpark ,3,1,0.648,0.462,357,47,22,1,2,0,2.4,2.1,0,1.3,0.6,13,74%,75%,16.4,N/A,0.1,0.6,Ungrazed,I,Nettle (Urtica spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 06/08/2023
12/09/2023,BP_3.2,Broadpark ,3,2,0.332,0.271,34,1,0,0,0,0,2.6,2.5,2.9,2.2,1.3,22,79%,80%,17.8,"Sunny, cloud",0.1,0.3,Ungrazed,I,Nettle (Urtica spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 16/10/2023
26/09/2023,BP_3.3,Broadpark ,3,3,0.682,0.175,103,21,10,1,0,0,1.3,0,0,0.6,2,124,85%,80%,14,"Sunny, cloud",0.2,0.3,Ungrazed,I,Broad Leaf Dock (Rumex obstusifolius) and Alfalfa (Medicago sativa),written up 09/11/2023
12/09/2023,BP_3.4,Broadpark ,3,4,0.333,0.423,67,3,0,0,0,0,2.2,0.6,0,1.3,2.2,44,80%,79%,17.2,"Sunny, light cloud",0.2,0.3,Ungrazed,I,Nettle (Urtica spp.) and Curly Leaf Dock (Rumex crispus),written up 16/10/2023
25/09/2023,M_1.1,Monacre,1,1,0.286,0.323,78,2,0,0,0,0,0,1.3,2,0,0,141,71%,66%,23.5,"Sunny, light cloud ",0.1,0.8,Ungrazed,SI,Bracken (Pteridium aquilinum) and Ground Ivy (Glechoma hederacea),written up 20/09/2023
25/09/2023,M_1.5,Monacre,1,5,0.356,0.389,20,2,0,0,0,0,1.6,0,0.6,0,1.3,111,68%,60%,22.4,"Sunny, light cloud ",0.2,0.5,Ungrazed,SI,Ground Ivy (Glechoma hederacea) ,written up 20/09/2023
22/09/2023,M_2.1,Monacre,2,1,0.332,0.214,83,8,0,0,2,1,2,0,0,2.6,9,111,68%,71%,15.7,"Sunny, cloud ",0.1,0.6,Ungrazed,SI,Bracken (Pteridium aquilinum) and Dandelion (Taraxacum spp.),written up 18/10/2023
22/09/2023,M_2.2,Monacre,2,2,0.459,0.332,119,10,3,0,3,6,0,1.3,0,2.7,0,92,60%,63%,18.3,"Sunny, cloud ",0.2,0.3,Ungrazed,SI,Dandelion (Taraxacum spp.) ,written up 18/10/2023
25/09/2023,M_2.3,Monacre,2,3,0.371,0.402,191,21,1,0,2,1,0.6,1.8,0.6,0,0,138,64%,69%,22.3,Heavy cloud ,0.1,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens),written up 20/09/2023
25/09/2023,M_2.4,Monacre,2,4,0.242,0.18,12,0,0,0,0,0,0,1.3,2.1,0,0.2,119,62%,61%,24.4,Heavy cloud ,0.2,0.4,Ungrazed,SI,Mouse-ear Chickweed (Cerastium spp.),written up 20/09/2023
25/09/2023,M_2.5,Monacre,2,5,0.626,0.215,102,34,0,0,4,0,0.6,1.3,0,0,0,168,66%,70%,22.4,Heavy cloud,0.05,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens) and White Clover (Trifolium repens),written up 20/09/2023
23/08/2023,M_3.1,Monacre,3,1,0.632,0.264,62,6,0,0,3,0,0,0,0,0,0,136,88%,81%,19.5,"Sunny, light cloud",0.3,0.4,Ungrazed,SI,Bracken (Pteridium aquilinum),written up 07/09/2023
02/09/2023,M_3.2,Monacre,3,2,0.642,0.285,101,4,1,0,0,13,0,0,0,0,0.6,131,71%,60%,27.2,"Sunny, clear",0.3,0.5,Ungrazed,SI,Birds-foot Trefoil (Lotus corniculatus) and Ragwort (Jacobaea vulgaris),written up 17/09/2023
02/09/2023,M_3.3,Monacre,3,3,0.413,0.301,126,3,0,0,0,0,0,0,0,0,0,126,71%,53%,28.2,"Sunny, clear",0.3,0.4,Ungrazed,SI,Creeping Buttercup (Ranunculus repens),written up 17/09/2023
25/09/2023,M_3.6,Monacre,3,6,0.339,0.26,87,6,1,0,1,2,1.2,0.8,2,0,0,131,81%,83%,17.7,Heavy cloud,0.1,0.3,Ungrazed,SI,Dandelion (Taraxacum spp.) and Mouse-ear Chickweed (Cerastium spp.),written up 20/09/2023
15/08/2023,S_1.1,Stoneyland,1,1,0.338,0.114,27,2,0,0,1,0,0,0,2,0,0,110,78%,72%,24.8,"Sunny, light cloud",0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) ,written up 20/08/2023
15/08/2023,S_1.2,Stoneyland,1,2,0.352,0.249,19,21,0,0,0,0,0,2.3,0,2,2.3,123,61%,75%,23,"Sunny, clear",0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) ,written up 20/08/2023
30/08/2023,S_2.1,Stoneyland,2,1,0.161,0.081,9,3,0,0,0,0,2.4,3,2.3,0.1,2.1,42,84%,78%,20.9,"Sunny, heavy cloud",0.1,0.3,Ungrazed,I,White Clover (Trifolium repens) ,written up 07/09/2023
30/08/2023,S_2.2,Stoneyland,2,2,0.281,0.269,9,1,1,0,0,0,0,0,0,0,0,310,93%,80%,17.5,Full cloud,0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) and Creeping Buttercup (Ranunculus repens),written up 07/09/2023
30/08/2023,S_2.3,Stoneyland,2,3,0.279,0.107,44,3,2,0,0,0,2,0,0.1,0,0.6,100,94%,88%,17.3,Full cloud,0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) and Dandelion (Taraxacum spp.) ,written up 07/09/2023
30/08/2023,S_2.4,Stoneyland,2,4,0.187,0.192,28,2,0,0,1,0,2,0,0.6,1.3,2.1,143,89%,78%,17,Full cloud,0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) and Dandelion (Taraxacum spp.) ,written up 07/09/2023
07/08/2023,S_3.1,Stoneyland,3,1,0.203,0.102,71,19,1,0,0,0,0,0,0,0,0.6,243,61%,61%,21,N/A,0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) and Creeping Buttercup (Ranunculus repens),written up 06/08/2023
07/08/2023,S_3.2,Stoneyland,3,2,0.31,0.139,48,0,0,0,0,0,2.2,2.5,0.1,1.3,0,120,58%,61%,18.7,N/A,0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) and Spear thistle (Cirsium vulgaris),written up 06/08/2023
13/09/2023,S_3.3,Stoneyland,3,3,0.313,0.249,30,1,0,0,0,0,0,0,0,0,1.3,164,49%,53%,24,"Sunny, very light cloud",0.2,0.3,Ungrazed,I,White Clover (Trifolium repens) and Spear thistle (Cirsium vulgaris),written up 28/09/2023
13/09/2023,S_3.4,Stoneyland,3,4,0.208,0.191,13,0,0,6,0,0,0,0,0,0,0,131,64%,54%,22.2,"Sunny, very light cloud",0.1,0.2,Ungrazed,I,White Clover (Trifolium repens) ,written up 28/09/2023
13/09/2023,S_3.5,Stoneyland,3,5,0.369,0.195,20,6,0,1,1,1,0,0,0,0,0,126,74%,64%,19.6,"Sunny, light cloud",0.2,0.3,Ungrazed,I,White Clover (Trifolium repens) and Dandelion (Taraxacum spp.) ,written up 28/09/2023
18/09/2023,W_A_1.1,Warren A ,1,1,0.247,0.201,35,2,0,0,0,0,2.3,2.2,2,2,0.6,45,76%,71%,18.6,"Sunny, cloud",0.05,0.2,Grazed,I,Chickweed (Stellaria spp.) and White Clover (Trifolium repens) ,written up 18/10/2023
18/09/2023,W_A_1.2,Warren A ,1,2,0.289,0.229,18,29,0,0,2,1,3.2,2.5,2.2,2.1,2.2,48,70%,75%,16.6,"Sunny, light cloud",0.1,0.2,Grazed,I,White Clover (Trifolium repens) ,written up 18/10/2023
14/08/2023,W_A_2.1,Warren A,2,1,0.21,0.138,36,4,0,0,1,0,0.6,0.6,0,0,0,143,84%,70%,19.4,N/A,0.2,0.3,Grazed,I,Autumn Hawksbit (Leontodon hispidus) and Bracken (Pteridium aquilinum),written up 16/08/2023
14/09/2023,W_A_2.2,Warren A,2,2,0.474,0.381,98,21,0,0,2,2,2.2,0,0,0,0.6,129,89%,98%,17.7,"Full cloud, light rain",0.1,0.3,Grazed,I,White Clover (Trifolium repens),written up 17/10/2023
15/09/2023,W_A_2.3,Warren A,2,3,0.331,0.128,32,10,0,0,2,1,0,2,0.6,0,2.1,227,75%,63%,23.4,"Sunny, light cloud",0.1,0.2,Grazed,I,Creeping Buttercup (Ranunculus repens) and Chickweed (Stellaria spp.),written up 17/10/2023
15/09/2023,W_A_2.4,Warren A,2,4,0.18,0.202,47,0,0,0,0,0,0,2.5,0,0,0,237,80%,69%,20.7,"Sunny, light cloud",0.025,0.1,Grazed,I,Spear thitsle (Cirsium vulgaris) and Chickweed (Stellaria spp.),written up 17/10/2023
03/09/2023,W_A_3.1,Warren A ,3,1,0.578,0.129,8,26,0,0,5,4,0,0,0,0,0,220,72%,49%,29.5,"Sunny, clear",0.1,0.2,Grazed,I,Spear thistle (Cirsium arvense)  ,written up 19/09/2023
03/09/2023,W_A_3.2,Warren A ,3,2,0.416,0.182,34,16,0,0,2,0,0,0,0,0.6,2.1,253,69%,63%,23,"Sunny, clear",0.1,0.2,Grazed,I,Spear thistle (Cirsium arvense) Ribwort Plantain (Plantago lanceolata),written up 19/09/2023
03/09/2023,W_A_3.3,Warren A,3,3,0.369,0.258,47,17,0,0,5,0,0.6,0,2,2.5,2,261,71%,60%,25.2,"Sunny, clear",0.05,0.2,Grazed,I,Mouse-ear Chickweed (Cerastium spp.),written up 19/09/2023
25/09/2023,W_B_1.1,Warren B ,1,1,0.232,0.275,56,30,0,0,0,0,0,0,0,0.6,1.3,63,88%,88%,16.2,Full cloud,0.1,0.3,Grazed,SI,Spear Thistle (Cirsium vulgaris) and White Clover (Trifolium repens) ,written up 20/09/2023
25/09/2023,W_B_1.8,Warren B ,1,8,0.267,0.26,48,41,0,0,0,0,0,2.1,1.3,0,0,67,83%,81%,17.9,"Sunny, cloud ",0.025,0.2,Grazed,SI,Spear Thistle (Cirsium vulgaris) and White Clover (Trifolium repens) ,written up 20/09/2023
01/08/2023,W_B_2.1,Warren B,2,1,0.435,0.14,47,3,7,3,2,5,3.4,0.6,0.24,0.27,1.2,N/A,83%,50%,24,N/A,0.2,0.3,Grazed,I,Spear thistle (Cirsium vulgaris),written up 02/08/2023
01/08/2023,W_B_2.2,Warren B,2,2,0.439,0.162,28,12,0,0,4,5,4,2,0.34,0.23,0.15,N/A,74%,67%,21.8,N/A,0.1,0.2,Grazed,I,Spear thistle (Cirsium vulgaris),written up 02/08/2023
01/08/2023,W_B_2.3,Warren B,2,3,0.101,0.072,12,0,0,0,0,0,2.5,2,0.19,0.25,0.07,N/A,70%,76%,19.1,N/A,0.05,0.1,Grazed,I,Rush (Juncus spp.),written up 02/08/2023
03/08/2023,W_B_2.4,Warren B,2,4,0.652,0.238,73,24,4,0,12,13,0.6,5.9,2.6,4.8,3.9,N/A,72%,77%,19.4,N/A,0.1,0.2,Grazed,I,White Clover (Trifolium repens) and Spear thistle (Cirsium vulgaris),written up 02/08/2023
03/08/2023,W_B_2.5,Warren B,2,5,0.469,0.227,107,3,5,2,2,7,1.6,3.6,2.8,2.2,1.9,N/A,72%,66%,22.6,N/A,0.2,0.4,Grazed,I,White Clover (Trifolium repens) and Spear thistle (Cirsium vulgaris),written up 02/08/2023
03/08/2023,W_B_2.6,Warren B,2,6,0.081,0.077,10,2,0,0,0,0,4.2,3.2,0.6,2.9,1.8,N/A,73%,72%,19.2,N/A,0.05,0.1,Grazed,I,White Clover (Trifolium repens) ,written up 02/08/2023
03/09/2023,W_B_2.7,Warren B ,2,7,0.253,0.161,22,10,0,0,0,0,0,0,0,0,0.6,108,46%,55%,32.3,"Sunny, clear",0.1,0.8,Grazed,I,Spear thistle (Cirsium vulgaris) and Bracken (Pteridium aquilinum),written up 19/09/2023
03/09/2023,W_B_2.9,Warren B,2,9,0.555,0.109,8,26,0,0,6,4,0,0.6,0,0,0,115,43%,56%,30.9,"Sunny, clear",0.1,0.3,Grazed,I,Spear thistle (Cirsium arvense) and Yarrow (Achillea millefolium),written up 19/09/2023
03/08/2023,W_B_3.1,Warren B,3,1,0.281,0.269,42,2,0,0,0,0,2.2,2.7,2.1,0.6,2,N/A,66%,69%,18.3,N/A,0.1,0.2,Grazed,I,White Clover (Trifolium repens) ,written up 02/08/2023
03/08/2023,W_B_3.2,Warren B,3,2,0.243,0.115,15,9,0,0,0,0,2.9,2.8,2.3,2.3,2.2,N/A,73%,77%,16.8,N/A,0.05,0.1,Grazed,I,White Clover (Trifolium repens) ,written up 03/08/2023
05/09/2023,W_B_3.3,Warren B ,3,3,0.302,0.23,52,5,0,0,0,0,0.6,2,0,0,2.1,220,58%,54%,29.3,"Sunny, very light cloud",0.1,0.2,Grazed,I,White Clover (Trifolium repens),written up 02/10/2023
05/09/2023,W_B_3.4,Warren B ,3,4,0.232,0.238,10,1,0,0,0,0,2.8,0,1.3,0,2,239,61%,57%,29.3,"Sunny, very light cloud",0.05,0.3,Grazed,I,White Clover (Trifolium repens) and Mouse-ear Chickweed (Cerastium spp.),written up 02/10/2023
05/09/2023,W_B_3.5,Warren B ,3,5,0.228,0.259,75,33,0,0,0,0,0,0,2,0.6,0,283,68%,69%,25.2,"Sunny, clear",0.025,0.3,Grazed,I,White Clover (Trifolium repens) and Spear thistle (Cirsium vulgaris),written up 02/10/2023
